"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","5","0","0","0","0","0","89","0","8","0","26","0","0","0","0","1","0","0","0","249","118","0","0","0","0","0","1","0","0","0","0","5","5"
"ATL","1","0","0","1","0","0","0","42","0","5","0","28","0","0","0","0","0","1","0","0","216","211","0","0","0","0","0","0","1","0","0","0","1","1"
"BUF","1","3","0","2","0","0","0","33","0","59","0","10","0","0","1","0","0","0","0","0","135","83","0","0","0","1","0","0","0","0","0","0","11","11"
"CAR","1","1","0","0","0","0","0","107","0","0","0","52","0","0","0","0","0","0","0","1","325","138","0","0","0","0","0","0","0","1","0","0","-3","-3"
"CHI","1","6","1","2","0","0","0","23","0","18","0","22","0","0","0","0","1","0","0","0","274","76","0","0","0","0","0","1","0","0","0","0","12","12"
"CIN","1","0","0","0","0","0","0","107","0","0","0","51","0","0","0","0","0","0","0","1","265","244","0","0","0","0","0","0","0","0","1","0","-4","-4"
"CLV","1","2","2","0","0","0","0","69","0","6","0","16","0","0","0","1","0","0","0","0","330","68","0","0","0","0","0","1","0","0","0","0","7","7"
"DAL","1","2","0","1","0","0","0","0","0","0","0","20","0","0","0","1","0","0","0","0","360","71","0","0","0","0","0","0","1","0","0","0","5","5"
"DET","1","1","0","0","0","0","0","61","0","11","0","34","0","0","0","0","0","1","0","0","355","54","0","0","0","0","0","0","1","0","0","0","0","0"
"GB","1","6","1","1","0","0","0","34","0","19","0","12","0","0","1","0","0","0","0","0","213","131","0","0","0","0","1","0","0","0","0","0","14","14"
"IND","1","0","1","0","0","0","1","7","0","6","0","26","0","0","0","0","1","0","0","0","324","91","0","0","0","0","0","0","1","0","0","0","3","3"
"JAX","1","0","0","1","0","0","0","108","0","1","0","29","0","0","0","0","0","1","0","0","285","81","0","0","0","0","0","1","0","0","0","0","1","1"
"KC","1","5","0","2","0","0","0","22","0","0","0","14","0","0","0","1","0","0","0","0","208","94","0","0","0","0","1","0","0","0","0","0","10","10"
"MIA","1","2","1","0","0","0","1","97","0","0","0","31","0","0","0","0","0","1","0","0","199","195","0","0","0","0","0","1","0","0","0","0","4","4"
"NE","1","2","0","0","0","0","0","74","0","30","0","34","0","0","0","0","0","1","0","0","249","150","0","0","0","0","0","1","0","0","0","0","1","1"
"NO","1","4","0","2","0","0","0","0","0","2","0","14","0","0","0","1","0","0","0","0","198","110","0","0","0","0","1","0","0","0","0","0","9","9"
"NYG","1","0","0","2","0","0","0","104","0","7","0","23","0","0","0","0","1","0","0","0","250","124","0","0","0","0","0","1","0","0","0","0","4","4"
"NYJ","1","1","0","0","0","0","0","142","0","15","0","41","0","0","0","0","0","0","1","0","247","212","0","0","0","0","0","0","0","1","0","0","-3","-3"
"OAK","1","1","0","1","0","0","0","96","0","8","0","20","0","0","0","1","0","0","0","0","223","113","0","0","0","0","1","0","0","0","0","0","4","4"
"PHI","1","4","0","0","0","0","0","93","0","11","0","27","0","0","0","0","1","0","0","0","270","171","0","0","0","0","0","0","1","0","0","0","4","4"
"PIT","1","5","1","1","1","0","0","10","0","10","0","21","0","0","0","0","1","0","0","0","193","95","0","0","0","1","0","0","0","0","0","0","15","15"
"LA","1","4","1","0","0","0","0","31","0","22","0","31","0","0","0","0","0","1","0","0","176","273","0","0","0","0","0","0","1","0","0","0","5","5"
"LAC","1","4","1","0","0","0","0","41","0","15","0","6","0","1","0","0","0","0","0","0","243","114","0","0","0","0","0","1","0","0","0","0","13","13"
"SF","1","1","0","0","0","0","0","0","0","24","0","27","0","0","0","0","1","0","0","0","188","97","0","0","0","1","0","0","0","0","0","0","1","1"
"SEA","1","2","0","0","0","0","0","21","0","9","0","36","0","0","0","0","0","0","1","0","318","149","0","0","0","0","0","0","0","1","0","0","-2","-2"
"TB","1","2","0","0","0","0","0","0","0","8","0","16","0","0","0","1","0","0","0","0","178","116","0","0","0","1","0","0","0","0","0","0","3","3"
"TEN","1","3","0","0","0","0","0","78","0","42","0","10","0","0","1","0","0","0","0","0","267","40","0","0","0","0","1","0","0","0","0","0","7","7"
"WAS","1","2","2","2","0","0","0","19","0","0","0","3","0","1","0","0","0","0","0","0","406","103","0","0","0","0","0","0","0","0","1","0","17","17"
