"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","4","1","0","0","0","0","0","0","44","0","24","0","0","0","0","1","0","0","0","255","182","0","0","0","0","0","0","1","0","0","0","6","6"
"ATL","1","2","1","1","0","0","0","0","0","11","0","18","0","0","0","1","0","0","0","0","132","113","0","0","0","1","0","0","0","0","0","0","7","7"
"BLT","1","6","0","2","0","0","0","24","0","54","0","3","0","1","0","0","0","0","0","0","98","83","0","0","1","0","0","0","0","0","0","0","17","17"
"BUF","1","2","1","0","0","0","0","165","0","19","0","47","0","0","0","0","0","0","0","1","260","117","0","0","0","0","0","1","0","0","0","0","0","0"
"CAR","1","6","1","0","0","0","0","0","0","62","0","8","0","0","1","0","0","0","0","0","170","94","0","0","0","1","0","0","0","0","0","0","12","12"
"CHI","1","4","1","1","1","0","0","18","0","45","0","24","0","0","0","0","1","0","0","0","341","69","0","0","0","0","0","0","1","0","0","0","14","14"
"CIN","1","2","1","1","1","0","0","42","0","-1","0","23","0","0","0","0","1","0","0","0","319","75","0","0","0","0","0","1","0","0","0","0","12","12"
"CLV","1","4","3","3","0","0","0","46","0","15","0","21","0","0","0","0","1","0","0","0","335","159","0","0","0","0","0","0","0","1","0","0","16","16"
"DAL","1","3","1","0","0","0","0","0","0","13","0","16","0","0","0","1","0","0","0","0","161","147","0","0","0","0","1","0","0","0","0","0","6","6"
"DEN","1","6","1","2","0","0","0","0","0","9","0","24","0","0","0","0","1","0","0","0","298","64","0","0","0","0","0","1","0","0","0","0","12","12"
"DET","1","2","1","1","1","0","0","0","0","0","0","48","0","0","0","0","0","0","0","1","198","169","0","0","0","0","0","1","0","0","0","0","8","8"
"GB","1","4","1","0","0","0","0","68","0","17","0","23","0","0","0","0","1","0","0","0","171","139","0","0","0","0","1","0","0","0","0","0","6","6"
"HST","1","2","2","1","0","0","0","156","0","20","0","27","0","0","0","0","1","0","0","0","277","122","0","0","0","0","0","1","0","0","0","0","8","8"
"IND","1","2","1","1","0","0","0","54","0","0","0","34","0","0","0","0","0","1","0","0","243","101","0","0","0","0","1","0","0","0","0","0","5","5"
"JAX","1","2","1","1","1","0","0","45","0","10","0","15","0","0","0","1","0","0","0","0","224","114","0","0","0","0","1","0","0","0","0","0","13","13"
"KC","1","1","1","1","0","0","0","33","0","95","1","28","0","0","0","0","0","1","0","0","424","123","0","0","0","0","0","0","0","0","1","0","10","10"
"MIA","1","0","0","3","0","0","0","125","1","1","0","20","0","0","0","1","0","0","0","0","220","116","0","0","0","0","1","0","0","0","0","0","13","13"
"MIN","1","3","1","3","1","0","0","0","0","7","0","16","0","0","0","1","0","0","0","0","261","90","0","0","0","0","0","1","0","0","0","0","18","18"
"NE","1","3","1","1","0","0","0","19","0","0","0","20","0","0","0","1","0","0","0","0","176","167","0","0","0","0","1","0","0","0","0","0","8","8"
"NO","1","0","0","0","0","0","0","69","0","0","0","48","0","0","0","0","0","0","0","1","417","112","0","0","0","0","0","0","0","0","1","0","-4","-4"
"NYG","1","1","0","1","0","0","0","15","0","4","0","20","0","0","0","1","0","0","0","0","176","137","0","0","0","0","1","0","0","0","0","0","4","4"
"NYJ","1","0","0","5","1","0","0","45","0","137","1","17","0","0","0","1","0","0","0","0","300","39","0","0","0","0","1","0","0","0","0","0","23","23"
"OAK","1","1","0","0","0","0","0","0","0","10","0","33","0","0","0","0","0","1","0","0","233","140","0","0","0","0","0","1","0","0","0","0","0","0"
"PHI","1","4","0","1","0","0","0","43","0","29","0","12","0","0","1","0","0","0","0","0","251","74","0","0","0","0","1","0","0","0","0","0","10","10"
"PIT","1","7","0","1","0","0","1","69","0","56","0","21","0","0","0","0","1","0","0","0","197","177","0","0","0","0","0","1","0","0","0","0","10","10"
"LA","1","1","0","3","1","0","0","75","0","12","0","13","0","0","1","0","0","0","0","0","303","95","0","0","0","0","0","1","0","0","0","0","17","17"
"LAC","1","1","0","0","0","0","0","36","0","-5","0","38","0","0","0","0","0","0","1","0","256","106","0","0","0","0","0","1","0","0","0","0","-3","-3"
"SF","1","3","1","0","0","0","0","0","0","14","0","24","0","0","0","0","1","0","0","0","244","116","0","0","0","0","0","1","0","0","0","0","5","5"
"SEA","1","1","0","3","0","0","0","39","0","11","0","27","0","0","0","0","1","0","0","0","329","146","0","0","0","0","0","0","0","1","0","0","7","7"
"TB","1","1","2","0","1","0","0","33","0","19","0","40","0","0","0","0","0","0","1","0","439","43","0","0","0","0","0","0","0","1","0","0","7","7"
"TEN","1","1","0","2","0","0","0","121","1","44","0","27","0","0","0","0","1","0","0","0","230","120","0","0","0","0","0","1","0","0","0","0","11","11"
"WAS","1","2","1","1","0","0","0","24","0","12","0","6","0","1","0","0","0","0","0","0","153","68","0","0","0","1","0","0","0","0","0","0","13","13"
